date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:08:13	262/262	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Mar%202022%2013:08:13%20GMT	https://mobirise.com/extensions/floram4/floral-studio/index.html	/Users/thanhnguyen/Desktop/GiaKhang%20/GiaKhang/mobirise.com/extensions/floram4/floral-studio/index-2.html	(from https://mobirise.com/extensions/floram4/floral-studio/)
20:08:16	95096/95096	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20May%202021%2015:21:26%20GMT	https://mobirise.com/extensions/floram4/floral-studio/assets/images/sl1-967x725.jpg	/Users/thanhnguyen/Desktop/GiaKhang%20/GiaKhang/mobirise.com/extensions/floram4/floral-studio/assets/images/sl1-967x725.jpg	(from https://mobirise.com/extensions/floram4/floral-studio/)
20:08:16	88533/88533	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20May%202021%2015:21:26%20GMT	https://mobirise.com/extensions/floram4/floral-studio/assets/images/sl7.jpg	/Users/thanhnguyen/Desktop/GiaKhang%20/GiaKhang/mobirise.com/extensions/floram4/floral-studio/assets/images/sl7.jpg	(from https://mobirise.com/extensions/floram4/floral-studio/)
20:08:17	11985/11985	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20May%202021%2015:21:26%20GMT	https://mobirise.com/extensions/floram4/floral-studio/assets/images/fl1.jpg	/Users/thanhnguyen/Desktop/GiaKhang%20/GiaKhang/mobirise.com/extensions/floram4/floral-studio/assets/images/fl1.jpg	(from https://mobirise.com/extensions/floram4/floral-studio/)
20:08:17	27421/27421	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20May%202021%2015:21:26%20GMT	https://mobirise.com/extensions/floram4/floral-studio/assets/images/sl4.jpg	/Users/thanhnguyen/Desktop/GiaKhang%20/GiaKhang/mobirise.com/extensions/floram4/floral-studio/assets/images/sl4.jpg	(from https://mobirise.com/extensions/floram4/floral-studio/)
20:08:19	16231/16231	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20May%202021%2015:21:26%20GMT	https://mobirise.com/extensions/floram4/floral-studio/assets/images/fl2.jpg	/Users/thanhnguyen/Desktop/GiaKhang%20/GiaKhang/mobirise.com/extensions/floram4/floral-studio/assets/images/fl2.jpg	(from https://mobirise.com/extensions/floram4/floral-studio/)
20:08:19	1618/1618	---M--	200	added ('OK')	image/png	date:Tue,%2018%20May%202021%2015:21:26%20GMT	https://mobirise.com/extensions/floram4/floral-studio/assets/images/signature.png	/Users/thanhnguyen/Desktop/GiaKhang%20/GiaKhang/mobirise.com/extensions/floram4/floral-studio/assets/images/signature.png	(from https://mobirise.com/extensions/floram4/floral-studio/)
20:08:21	53522/53522	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20May%202021%2015:21:26%20GMT	https://mobirise.com/extensions/floram4/floral-studio/assets/images/b4.jpg	/Users/thanhnguyen/Desktop/GiaKhang%20/GiaKhang/mobirise.com/extensions/floram4/floral-studio/assets/images/b4.jpg	(from https://mobirise.com/extensions/floram4/floral-studio/)
20:08:22	98078/98078	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20May%202021%2015:21:26%20GMT	https://mobirise.com/extensions/floram4/floral-studio/assets/images/b2.jpg	/Users/thanhnguyen/Desktop/GiaKhang%20/GiaKhang/mobirise.com/extensions/floram4/floral-studio/assets/images/b2.jpg	(from https://mobirise.com/extensions/floram4/floral-studio/)
20:08:23	63751/63751	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20May%202021%2015:21:26%20GMT	https://mobirise.com/extensions/floram4/floral-studio/assets/images/b3.jpg	/Users/thanhnguyen/Desktop/GiaKhang%20/GiaKhang/mobirise.com/extensions/floram4/floral-studio/assets/images/b3.jpg	(from https://mobirise.com/extensions/floram4/floral-studio/)
